Start:-1.0389997624e-002
Increment:4.9999998737e-005
Sequence,Volt,Volt,Volt
X,CH1,CH2,CH3
847,-1.562e-001,6.875e-002,4.000e000
848,-1.718e-001,1.875e-002,4.000e000
849,-2.500e-001,1.062e-001,4.187e000
850,-2.500e-001,1.250e-001,4.000e000
851,-1.718e-001,8.125e-002,4.187e000
852,-1.718e-001,1.125e-001,4.000e000
853,-2.656e-001,8.750e-002,4.187e000
854,-2.656e-001,6.875e-002,4.125e000
855,-1.718e-001,1.062e-001,4.000e000
856,-2.656e-001,1.062e-001,4.000e000
857,-1.718e-001,7.500e-002,4.187e000
858,-1.718e-001,1.062e-001,4.125e000
859,-2.812e-001,6.250e-002,3.937e000
860,-1.875e-001,9.375e-002,4.125e000
861,-2.812e-001,5.625e-002,3.937e000
862,-1.875e-001,8.125e-002,4.125e000
863,-2.812e-001,3.750e-002,3.937e000
864,-2.812e-001,7.500e-002,4.125e000
865,-1.875e-001,1.875e-002,3.937e000
866,-2.812e-001,6.250e-002,3.937e000
867,-1.875e-001,1.250e-002,4.125e000
868,-2.812e-001,1.250e-002,4.062e000
869,-1.875e-001,6.250e-002,3.937e000
870,-2.031e-001,7.500e-002,4.062e000
871,-2.968e-001,1.875e-002,3.875e000
872,-2.031e-001,4.375e-002,4.062e000
873,-2.968e-001,1.125e-001,3.875e000
874,-2.968e-001,1.187e-001,4.062e000
875,-2.031e-001,9.375e-002,3.875e000
876,-2.187e-001,1.187e-001,3.875e000
877,-2.968e-001,8.125e-002,4.062e000
878,-2.968e-001,8.125e-002,3.875e000
879,-2.187e-001,1.187e-001,4.062e000
880,-2.968e-001,1.312e-001,4.000e000
881,-2.187e-001,8.750e-002,3.875e000
882,-3.125e-001,1.187e-001,4.000e000
883,-2.187e-001,7.500e-002,3.875e000
884,-3.125e-001,1.125e-001,4.000e000
885,-2.187e-001,6.250e-002,3.812e000
886,-2.343e-001,1.000e-001,4.000e000
887,-3.125e-001,3.750e-002,3.812e000
888,-2.343e-001,8.125e-002,4.000e000
889,-3.281e-001,2.500e-002,3.812e000
890,-2.343e-001,6.875e-002,3.812e000
891,-3.281e-001,1.875e-002,4.000e000
892,-2.343e-001,1.250e-002,3.812e000
893,-3.281e-001,6.875e-002,4.000e000
894,-3.281e-001,7.500e-002,3.937e000
895,-2.343e-001,1.250e-002,3.812e000
896,-3.281e-001,6.250e-002,3.937e000
897,-2.500e-001,1.375e-001,3.750e000
898,-3.281e-001,1.437e-001,3.937e000
899,-2.500e-001,1.000e-001,3.750e000
900,-2.500e-001,1.375e-001,3.937e000
901,-3.437e-001,9.375e-002,3.750e000
902,-2.656e-001,1.000e-001,3.937e000
903,-3.437e-001,1.375e-001,3.750e000
904,-3.437e-001,1.312e-001,3.937e000
905,-2.656e-001,8.750e-002,3.750e000
906,-3.437e-001,1.250e-001,3.875e000
907,-2.656e-001,7.500e-002,3.750e000
908,-3.437e-001,1.125e-001,3.875e000
909,-2.656e-001,6.250e-002,3.687e000
910,-2.656e-001,9.375e-002,3.875e000
911,-3.593e-001,4.375e-002,3.687e000
912,-2.812e-001,4.375e-002,3.875e000
913,-3.593e-001,9.375e-002,3.687e000
914,-3.593e-001,8.750e-002,3.687e000
915,-2.812e-001,2.500e-002,3.875e000
916,-3.593e-001,2.500e-002,3.687e000
917,-2.812e-001,1.000e-001,3.875e000
918,-3.593e-001,2.500e-002,3.687e000
919,-2.812e-001,1.125e-001,3.875e000
920,-2.812e-001,9.375e-002,3.687e000
921,-3.750e-001,1.437e-001,3.875e000
922,-2.968e-001,1.437e-001,3.812e000
923,-3.750e-001,1.062e-001,3.625e000
924,-2.968e-001,1.312e-001,3.812e000
925,-3.750e-001,1.000e-001,3.625e000
926,-2.968e-001,1.062e-001,3.812e000
927,-3.750e-001,1.437e-001,3.625e000
928,-3.750e-001,1.375e-001,3.812e000
929,-2.968e-001,8.750e-002,3.625e000
930,-3.906e-001,1.250e-001,3.625e000
931,-2.968e-001,7.500e-002,3.812e000
932,-3.906e-001,1.125e-001,3.625e000
933,-2.968e-001,6.250e-002,3.812e000
934,-3.125e-001,8.750e-002,3.750e000
935,-3.906e-001,4.375e-002,3.562e000
936,-3.125e-001,8.750e-002,3.750e000
937,-3.906e-001,3.750e-002,3.562e000
938,-3.125e-001,3.750e-002,3.750e000
939,-3.906e-001,9.375e-002,3.562e000
940,-3.125e-001,8.125e-002,3.750e000
941,-4.062e-001,3.125e-002,3.562e000
942,-3.125e-001,5.000e-002,3.562e000
943,-4.062e-001,1.437e-001,3.750e000
944,-3.281e-001,1.250e-001,3.562e000
945,-4.062e-001,1.500e-001,3.750e000
946,-4.062e-001,1.500e-001,3.562e000
947,-3.281e-001,1.187e-001,3.750e000
948,-3.281e-001,1.187e-001,3.687e000
949,-4.062e-001,1.562e-001,3.500e000
950,-3.281e-001,1.500e-001,3.687e000
951,-4.218e-001,1.062e-001,3.500e000
952,-3.281e-001,1.437e-001,3.687e000
953,-4.218e-001,1.000e-001,3.500e000
954,-3.437e-001,1.250e-001,3.687e000
955,-4.218e-001,8.125e-002,3.500e000
956,-4.218e-001,7.500e-002,3.500e000
957,-3.437e-001,1.187e-001,3.687e000
958,-3.437e-001,1.062e-001,3.500e000
959,-4.218e-001,5.625e-002,3.687e000
960,-3.437e-001,9.375e-002,3.625e000
961,-4.375e-001,5.000e-002,3.500e000
962,-4.375e-001,3.750e-002,3.625e000
963,-3.437e-001,1.125e-001,3.437e000
964,-4.375e-001,4.375e-002,3.625e000
965,-3.437e-001,1.125e-001,3.437e000
966,-3.593e-001,1.000e-001,3.625e000
967,-4.375e-001,1.625e-001,3.437e000
968,-3.593e-001,1.562e-001,3.437e000
969,-4.375e-001,1.250e-001,3.625e000
970,-3.593e-001,1.562e-001,3.437e000
971,-4.531e-001,1.187e-001,3.625e000
972,-3.593e-001,1.562e-001,3.437e000
973,-4.531e-001,1.187e-001,3.625e000
974,-4.531e-001,1.500e-001,3.562e000
975,-3.593e-001,1.000e-001,3.375e000
976,-3.750e-001,1.312e-001,3.562e000
977,-4.531e-001,9.375e-002,3.375e000
978,-3.750e-001,1.250e-001,3.562e000
979,-4.531e-001,6.875e-002,3.375e000
980,-3.750e-001,6.250e-002,3.562e000
981,-4.687e-001,1.062e-001,3.375e000
982,-3.750e-001,1.062e-001,3.375e000
983,-4.687e-001,5.000e-002,3.562e000
984,-4.687e-001,4.375e-002,3.500e000
985,-3.750e-001,1.062e-001,3.375e000
986,-3.906e-001,6.875e-002,3.562e000
987,-4.687e-001,1.187e-001,3.312e000
988,-3.906e-001,7.500e-002,3.500e000
989,-4.687e-001,1.625e-001,3.312e000
990,-3.906e-001,1.437e-001,3.500e000
991,-4.843e-001,1.750e-001,3.312e000
992,-4.843e-001,1.687e-001,3.500e000
993,-3.906e-001,1.375e-001,3.312e000
994,-3.906e-001,1.750e-001,3.312e000
995,-4.843e-001,1.375e-001,3.500e000
996,-4.843e-001,1.625e-001,3.437e000
997,-3.906e-001,1.250e-001,3.312e000
998,-4.062e-001,1.562e-001,3.437e000
999,-4.843e-001,1.000e-001,3.250e000
1000,-4.062e-001,1.375e-001,3.437e000
