Start:-1.0389997624e-002
Increment:4.9999998737e-005
Sequence,Volt,Volt,Volt
X,CH1,CH2,CH3
388,3.125e-001,-1.250e-001,6.250e000
389,2.187e-001,-2.437e-001,6.437e000
390,2.968e-001,-2.562e-001,6.250e000
391,2.031e-001,-1.000e-001,6.437e000
392,2.812e-001,-8.125e-002,6.375e000
393,1.875e-001,-1.625e-001,6.187e000
394,2.656e-001,-8.750e-002,6.375e000
395,1.562e-001,-1.562e-001,6.187e000
396,2.343e-001,-1.562e-001,6.375e000
397,1.250e-001,-7.500e-002,6.187e000
398,1.875e-001,-9.375e-002,6.375e000
399,7.812e-002,-1.562e-001,6.187e000
400,1.562e-001,-1.187e-001,6.187e000
401,3.125e-002,-3.125e-002,6.375e000
402,9.375e-002,-4.375e-002,6.187e000
403,-1.562e-002,-9.375e-002,6.375e000
404,4.687e-002,-6.250e-002,6.187e000
405,-6.250e-002,-9.375e-002,6.375e000
406,0.000e000,-7.500e-002,6.312e000
407,-1.250e-001,-1.187e-001,6.125e000
408,-4.687e-002,-8.750e-002,6.312e000
409,-1.718e-001,-1.562e-001,6.125e000
410,-7.812e-002,-1.500e-001,6.312e000
411,-2.031e-001,-7.500e-002,6.125e000
412,-1.406e-001,-9.375e-002,6.312e000
413,-2.500e-001,-1.562e-001,6.125e000
414,-1.718e-001,-1.625e-001,6.125e000
415,-2.812e-001,-1.125e-001,6.312e000
416,-2.031e-001,-1.062e-001,6.125e000
417,-2.968e-001,-1.687e-001,6.312e000
418,-2.187e-001,-6.875e-002,6.250e000
419,-3.281e-001,-1.375e-001,6.125e000
420,-2.343e-001,-7.500e-002,6.312e000
421,-3.437e-001,-1.562e-001,6.062e000
422,-2.500e-001,-1.562e-001,6.250e000
423,-3.437e-001,-9.375e-002,6.062e000
424,-2.500e-001,-1.437e-001,6.250e000
425,-3.437e-001,-8.750e-002,6.062e000
426,-2.656e-001,-1.500e-001,6.062e000
427,-3.593e-001,-8.125e-002,6.250e000
428,-3.437e-001,-2.062e-001,6.062e000
429,-2.656e-001,-7.500e-002,6.250e000
430,-2.656e-001,-9.375e-002,6.062e000
431,-3.437e-001,-3.750e-002,6.250e000
432,-3.281e-001,-5.000e-002,6.187e000
433,-2.500e-001,-8.125e-002,6.062e000
434,-3.281e-001,-7.500e-002,6.187e000
435,-2.343e-001,-1.125e-001,6.000e000
436,-3.125e-001,-8.125e-002,6.187e000
437,-2.187e-001,-1.375e-001,6.000e000
438,-2.968e-001,-6.250e-002,6.187e000
439,-1.875e-001,-1.375e-001,6.000e000
440,-2.656e-001,-1.312e-001,6.187e000
441,-1.718e-001,-8.750e-002,6.000e000
442,-2.343e-001,-1.375e-001,6.187e000
443,-1.250e-001,-8.750e-002,5.937e000
444,-1.875e-001,-1.187e-001,6.000e000
445,-9.375e-002,-3.750e-002,6.187e000
446,-1.562e-001,-4.375e-002,6.125e000
447,-3.125e-002,-1.125e-001,5.937e000
448,-1.093e-001,-4.375e-002,6.125e000
449,1.562e-002,-1.250e-001,5.937e000
450,-4.687e-002,-6.875e-002,6.125e000
451,9.375e-002,-1.312e-001,5.937e000
452,1.562e-002,-6.875e-002,6.125e000
453,1.406e-001,-1.500e-001,5.937e000
454,7.812e-002,-8.125e-002,5.937e000
455,2.031e-001,-1.312e-001,6.125e000
456,1.406e-001,-7.500e-002,6.125e000
457,2.656e-001,-1.625e-001,5.875e000
458,2.031e-001,-1.375e-001,6.062e000
459,3.281e-001,-4.375e-002,5.875e000
460,2.500e-001,-8.125e-002,6.062e000
461,3.750e-001,-3.750e-002,5.875e000
462,2.968e-001,-1.062e-001,6.062e000
463,4.062e-001,-5.000e-002,5.875e000
464,3.437e-001,-1.187e-001,5.875e000
465,4.531e-001,-4.375e-002,6.062e000
466,3.750e-001,-5.000e-002,5.875e000
467,4.843e-001,-1.312e-001,6.062e000
468,4.062e-001,-1.437e-001,6.062e000
469,5.000e-001,-6.250e-002,5.812e000
470,5.156e-001,-1.687e-001,5.875e000
471,4.218e-001,-5.000e-002,6.062e000
472,5.312e-001,-8.125e-002,6.062e000
473,4.375e-001,-3.125e-002,5.812e000
474,4.531e-001,-3.750e-002,6.000e000
475,5.468e-001,-9.375e-002,5.812e000
476,4.687e-001,-5.000e-002,6.000e000
477,5.625e-001,-1.187e-001,5.812e000
478,4.687e-001,-6.250e-002,6.000e000
479,5.625e-001,-1.312e-001,5.812e000
480,4.687e-001,-6.250e-002,5.812e000
481,5.625e-001,-1.312e-001,6.000e000
482,5.625e-001,-1.437e-001,6.000e000
483,4.687e-001,-8.125e-002,5.750e000
484,4.687e-001,-6.875e-002,5.937e000
485,5.625e-001,-1.687e-001,5.750e000
486,4.687e-001,-1.625e-001,5.937e000
487,5.468e-001,-5.000e-002,5.750e000
