Start:2.5210000051e-002
Increment:5.0000003284e-006
Sequence,Volt,Volt
X,CH1,CH2
804,7.625e-002,5.312e-002
805,6.437e-002,6.562e-002
806,7.000e-002,5.625e-002
807,4.062e-002,7.500e-002
808,4.625e-002,6.875e-002
809,1.687e-002,7.812e-002
810,2.062e-002,7.812e-002
811,1.874e-003,5.937e-002
812,6.250e-003,6.562e-002
813,-1.062e-002,5.625e-002
814,-3.749e-003,5.937e-002
815,-1.625e-002,7.500e-002
816,-1.000e-002,6.562e-002
817,-2.125e-002,7.812e-002
818,-1.499e-002,7.812e-002
819,-2.437e-002,5.937e-002
820,-1.812e-002,6.562e-002
821,-2.750e-002,4.687e-002
822,-2.000e-002,4.687e-002
823,-2.812e-002,5.937e-002
824,-2.937e-002,5.312e-002
825,-2.187e-002,6.875e-002
826,-2.312e-002,7.187e-002
827,-3.062e-002,5.625e-002
828,-2.437e-002,6.562e-002
829,-3.187e-002,4.375e-002
830,-2.500e-002,5.312e-002
831,-3.312e-002,4.062e-002
832,-3.312e-002,4.375e-002
833,-2.500e-002,6.250e-002
834,-3.187e-002,5.625e-002
835,-2.437e-002,7.187e-002
836,-3.125e-002,6.875e-002
837,-2.375e-002,4.687e-002
838,-3.062e-002,5.312e-002
839,-2.312e-002,3.750e-002
840,-2.875e-002,3.750e-002
841,-2.000e-002,5.312e-002
842,-2.687e-002,4.687e-002
843,-1.812e-002,6.562e-002
844,-2.375e-002,6.562e-002
845,-1.250e-002,4.687e-002
846,-1.874e-002,5.625e-002
847,-6.250e-003,2.500e-002
848,-1.125e-002,3.125e-002
849,4.375e-003,1.875e-002
850,-1.250e-003,2.187e-002
851,1.312e-002,4.062e-002
852,8.125e-003,3.437e-002
853,1.499e-002,5.312e-002
854,1.375e-002,5.312e-002
855,1.874e-003,2.500e-002
856,6.875e-003,3.125e-002
857,-8.750e-003,1.562e-002
858,-4.375e-003,1.562e-002
859,-1.874e-002,3.125e-002
860,-1.437e-002,2.500e-002
861,-2.625e-002,4.687e-002
862,-1.937e-002,4.687e-002
863,-2.937e-002,2.187e-002
864,-2.375e-002,2.812e-002
865,-3.250e-002,3.125e-003
866,-2.625e-002,3.125e-003
867,-3.437e-002,1.562e-002
868,-2.812e-002,6.250e-003
869,-3.624e-002,3.125e-002
870,-2.937e-002,2.187e-002
871,-3.812e-002,3.750e-002
872,-3.062e-002,3.437e-002
873,-3.937e-002,-3.125e-003
874,-3.187e-002,6.250e-003
875,-4.000e-002,-9.375e-003
876,-3.312e-002,-6.250e-003
877,-4.062e-002,1.250e-002
878,-4.187e-002,6.250e-003
879,-3.250e-002,2.812e-002
880,-3.437e-002,2.812e-002
881,-4.187e-002,3.125e-003
882,-3.374e-002,9.375e-003
883,-4.250e-002,0.000e000
884,-3.374e-002,3.125e-003
885,-4.187e-002,2.187e-002
886,-3.500e-002,1.250e-002
887,-4.312e-002,4.062e-002
888,-3.437e-002,4.375e-002
889,-4.312e-002,1.562e-002
890,-4.187e-002,2.187e-002
891,-3.374e-002,-3.125e-003
892,-4.250e-002,6.250e-003
893,-3.437e-002,-6.250e-003
894,-4.250e-002,-3.125e-003
895,-3.500e-002,2.187e-002
896,-3.500e-002,1.250e-002
897,-4.312e-002,2.812e-002
898,-4.375e-002,2.187e-002
899,-3.500e-002,3.125e-003
900,-3.374e-002,3.125e-003
901,-4.312e-002,1.250e-002
902,-3.500e-002,6.250e-003
903,-4.187e-002,2.812e-002
904,-3.500e-002,2.187e-002
905,-4.250e-002,4.375e-002
906,-4.250e-002,4.687e-002
907,-3.500e-002,1.250e-002
908,-3.312e-002,1.875e-002
909,-4.187e-002,-6.250e-003
910,-4.250e-002,-6.250e-003
911,-3.437e-002,6.250e-003
912,-4.125e-002,0.000e000
913,-3.374e-002,2.187e-002
914,-4.250e-002,2.812e-002
915,-3.437e-002,1.250e-002
916,-3.374e-002,2.187e-002
917,-4.187e-002,3.125e-003
918,-4.250e-002,3.125e-003
919,-3.250e-002,1.562e-002
920,-4.187e-002,6.250e-003
921,-3.374e-002,2.812e-002
922,-3.312e-002,2.187e-002
923,-4.125e-002,4.375e-002
924,-3.250e-002,4.062e-002
925,-4.062e-002,-6.250e-003
926,-4.125e-002,0.000e000
927,-3.250e-002,-2.500e-002
928,-3.250e-002,-2.812e-002
929,-4.062e-002,-1.250e-002
930,-4.062e-002,-2.187e-002
931,-3.187e-002,3.125e-003
932,-3.187e-002,-3.125e-003
933,-4.000e-002,9.375e-003
934,-3.875e-002,-3.125e-003
935,-3.062e-002,1.250e-002
936,-3.937e-002,3.125e-003
937,-3.125e-002,1.875e-002
938,-3.187e-002,9.375e-003
939,-3.937e-002,3.437e-002
940,-3.062e-002,2.812e-002
941,-3.875e-002,4.687e-002
942,-3.125e-002,4.062e-002
943,-3.875e-002,5.625e-002
944,-3.875e-002,5.000e-002
945,-3.125e-002,6.250e-002
946,-3.125e-002,5.312e-002
947,-3.875e-002,7.500e-002
948,-3.812e-002,6.562e-002
949,-2.999e-002,8.437e-002
950,-3.062e-002,7.812e-002
951,-3.875e-002,8.750e-002
952,-3.749e-002,7.812e-002
953,-2.937e-002,9.062e-002
954,-2.999e-002,7.812e-002
955,-3.812e-002,9.062e-002
956,-3.812e-002,8.437e-002
957,-2.875e-002,9.687e-002
958,-2.937e-002,1.000e-001
959,-3.875e-002,8.750e-002
960,-3.749e-002,9.687e-002
961,-2.937e-002,8.437e-002
962,-3.687e-002,9.375e-002
963,-2.937e-002,7.812e-002
964,-2.875e-002,7.812e-002
965,-3.687e-002,9.062e-002
966,-2.937e-002,8.125e-002
967,-3.687e-002,9.375e-002
968,-2.937e-002,9.062e-002
969,-3.749e-002,8.125e-002
970,-3.687e-002,9.062e-002
971,-2.937e-002,7.812e-002
972,-2.875e-002,7.500e-002
973,-3.687e-002,8.750e-002
974,-2.937e-002,7.812e-002
975,-3.749e-002,9.062e-002
976,-2.875e-002,9.375e-002
977,-3.624e-002,8.125e-002
978,-3.624e-002,9.062e-002
979,-2.875e-002,7.812e-002
980,-3.624e-002,8.750e-002
981,-2.812e-002,6.875e-002
982,-2.875e-002,6.875e-002
983,-3.687e-002,8.125e-002
984,-2.750e-002,7.500e-002
985,-3.687e-002,8.750e-002
986,-2.812e-002,8.750e-002
987,-3.624e-002,7.500e-002
988,-3.624e-002,8.125e-002
989,-2.812e-002,6.250e-002
990,-2.875e-002,5.625e-002
991,-3.624e-002,7.187e-002
992,-2.750e-002,6.250e-002
993,-3.624e-002,7.812e-002
994,-3.687e-002,7.187e-002
995,-2.812e-002,8.125e-002
996,-2.812e-002,8.125e-002
997,-3.687e-002,6.250e-002
998,-3.624e-002,7.187e-002
999,-2.750e-002,5.625e-002
1000,-2.875e-002,5.625e-002
1001,-3.624e-002,7.500e-002
1002,-2.812e-002,6.562e-002
1003,-3.624e-002,7.812e-002
1004,-3.624e-002,7.812e-002
1005,-2.750e-002,6.250e-002
1006,-3.687e-002,6.875e-002
1007,-2.812e-002,5.000e-002
1008,-3.687e-002,5.000e-002
1009,-2.812e-002,6.250e-002
1010,-2.812e-002,5.625e-002
1011,-3.687e-002,7.187e-002
1012,-3.687e-002,7.500e-002
1013,-2.750e-002,6.250e-002
1014,-2.812e-002,6.875e-002
1015,-3.687e-002,5.312e-002
1016,-2.812e-002,5.312e-002
1017,-3.687e-002,7.187e-002
1018,-3.687e-002,6.250e-002
1019,-2.812e-002,8.437e-002
1020,-2.750e-002,7.812e-002
1021,-3.687e-002,9.062e-002
1022,-2.812e-002,8.750e-002
1023,-3.749e-002,6.875e-002
1024,-3.624e-002,7.812e-002
1025,-2.812e-002,6.562e-002
1026,-3.687e-002,6.875e-002
1027,-2.875e-002,8.750e-002
1028,-2.812e-002,8.125e-002
1029,-3.687e-002,9.687e-002
1030,-3.687e-002,9.687e-002
1031,-2.812e-002,7.812e-002
1032,-2.875e-002,8.750e-002
1033,-3.749e-002,6.875e-002
1034,-2.875e-002,6.875e-002
1035,-3.687e-002,8.437e-002
1036,-2.812e-002,7.500e-002
1037,-3.749e-002,9.687e-002
1038,-3.687e-002,9.687e-002
1039,-2.875e-002,8.125e-002
1040,-2.875e-002,9.062e-002
1041,-3.749e-002,6.562e-002
1042,-2.812e-002,6.562e-002
1043,-3.749e-002,7.500e-002
1044,-3.749e-002,6.562e-002
1045,-2.875e-002,8.437e-002
1046,-2.812e-002,7.812e-002
1047,-3.749e-002,9.062e-002
1048,-2.937e-002,9.062e-002
1049,-3.749e-002,6.562e-002
1050,-3.687e-002,7.812e-002
1051,-2.875e-002,5.625e-002
1052,-2.875e-002,5.312e-002
1053,-3.812e-002,6.875e-002
1054,-3.749e-002,5.937e-002
1055,-2.937e-002,7.812e-002
1056,-2.875e-002,7.812e-002
1057,-3.749e-002,5.937e-002
1058,-3.749e-002,6.562e-002
1059,-2.937e-002,4.687e-002
1060,-2.875e-002,4.687e-002
1061,-3.812e-002,5.937e-002
1062,-3.749e-002,5.000e-002
1063,-2.875e-002,7.500e-002
1064,-3.812e-002,7.812e-002
1065,-2.937e-002,6.250e-002
1066,-2.937e-002,7.187e-002
1067,-3.749e-002,4.687e-002
1068,-3.812e-002,4.687e-002
1069,-2.937e-002,5.937e-002
1070,-2.937e-002,5.000e-002
1071,-3.749e-002,7.187e-002
1072,-2.937e-002,6.562e-002
1073,-3.875e-002,8.125e-002
1074,-3.749e-002,7.812e-002
1075,-2.875e-002,4.687e-002
1076,-3.749e-002,5.625e-002
1077,-2.875e-002,3.750e-002
1078,-2.937e-002,3.750e-002
1079,-3.812e-002,5.312e-002
1080,-3.749e-002,4.687e-002
1081,-2.937e-002,6.875e-002
1082,-2.875e-002,6.875e-002
1083,-3.812e-002,4.375e-002
1084,-2.875e-002,5.312e-002
1085,-3.812e-002,3.125e-002
1086,-2.937e-002,3.125e-002
1087,-3.749e-002,4.687e-002
1088,-2.937e-002,3.750e-002
1089,-3.749e-002,6.250e-002
1090,-3.749e-002,5.312e-002
1091,-2.812e-002,6.875e-002
1092,-3.687e-002,6.250e-002
1093,-2.875e-002,3.125e-002
1094,-3.749e-002,4.062e-002
1095,-2.875e-002,2.812e-002
1096,-3.687e-002,3.125e-002
1097,-2.812e-002,5.312e-002
1098,-3.749e-002,4.375e-002
1099,-2.812e-002,6.562e-002
1100,-2.875e-002,6.250e-002
1101,-3.687e-002,2.500e-002
1102,-3.749e-002,3.125e-002
1103,-2.875e-002,6.250e-003
1104,-3.687e-002,6.250e-003
1105,-2.812e-002,2.500e-002
1106,-2.812e-002,1.562e-002
1107,-3.687e-002,4.062e-002
1108,-2.812e-002,4.687e-002
1109,-3.624e-002,2.812e-002
1110,-3.624e-002,3.437e-002
1111,-2.750e-002,6.250e-003
1112,-3.562e-002,3.125e-003
1113,-2.750e-002,1.875e-002
1114,-3.562e-002,9.375e-003
1115,-2.750e-002,3.750e-002
1116,-3.624e-002,3.125e-002
1117,-2.750e-002,4.687e-002
1118,-2.687e-002,4.062e-002
1119,-3.624e-002,9.375e-003
1120,-3.624e-002,1.875e-002
1121,-2.687e-002,6.250e-003
1122,-3.500e-002,9.375e-003
1123,-2.687e-002,3.750e-002
1124,-2.750e-002,2.812e-002
1125,-3.562e-002,5.000e-002
1126,-3.500e-002,5.000e-002
1127,-2.562e-002,6.250e-003
1128,-2.625e-002,1.250e-002
1129,-3.500e-002,-6.250e-003
1130,-3.437e-002,-6.250e-003
1131,-2.562e-002,1.875e-002
1132,-3.500e-002,9.375e-003
1133,-2.500e-002,3.750e-002
1134,-3.437e-002,3.750e-002
1135,-2.562e-002,9.375e-003
1136,-3.374e-002,1.562e-002
1137,-2.500e-002,-3.125e-003
1138,-3.437e-002,-3.125e-003
1139,-2.500e-002,1.875e-002
1140,-2.437e-002,1.250e-002
1141,-3.374e-002,3.750e-002
1142,-2.437e-002,4.375e-002
1143,-3.374e-002,2.187e-002
1144,-3.374e-002,2.812e-002
1145,-2.437e-002,-3.125e-003
1146,-3.312e-002,-3.125e-003
1147,-2.312e-002,9.375e-003
1148,-2.437e-002,3.125e-003
1149,-3.312e-002,3.125e-002
1150,-3.250e-002,2.187e-002
1151,-2.375e-002,4.375e-002
1152,-2.375e-002,4.687e-002
1153,-3.250e-002,2.187e-002
1154,-3.250e-002,2.500e-002
1155,-2.312e-002,4.062e-002
1156,-2.375e-002,3.125e-002
1157,-3.250e-002,5.937e-002
1158,-2.375e-002,5.312e-002
1159,-3.250e-002,7.812e-002
1160,-3.187e-002,8.125e-002
1161,-2.312e-002,5.312e-002
1162,-2.312e-002,5.625e-002
1163,-3.125e-002,2.812e-002
1164,-2.250e-002,2.500e-002
1165,-3.125e-002,3.750e-002
1166,-3.125e-002,2.812e-002
1167,-2.250e-002,5.000e-002
1168,-3.187e-002,5.625e-002
1169,-2.250e-002,3.437e-002
1170,-3.062e-002,4.375e-002
1171,-2.187e-002,-6.250e-003
1172,-3.062e-002,0.000e000
1173,-2.125e-002,-1.562e-002
1174,-3.125e-002,-1.250e-002
1175,-2.187e-002,1.250e-002
1176,-3.062e-002,6.250e-003
1177,-2.187e-002,3.125e-002
1178,-2.187e-002,3.437e-002
1179,-3.062e-002,1.562e-002
1180,-3.062e-002,1.562e-002
1181,-2.187e-002,3.437e-002
1182,-2.999e-002,2.500e-002
1183,-2.125e-002,5.312e-002
1184,-2.999e-002,4.687e-002
1185,-2.125e-002,7.500e-002
1186,-2.937e-002,6.562e-002
1187,-2.062e-002,7.812e-002
1188,-3.125e-002,7.500e-002
1189,-2.062e-002,6.250e-002
1190,-2.999e-002,6.250e-002
1191,-2.125e-002,8.125e-002
1192,-2.062e-002,7.187e-002
1193,-2.937e-002,9.687e-002
1194,-3.062e-002,8.750e-002
1195,-1.937e-002,1.000e-001
1196,-3.062e-002,1.000e-001
1197,-2.000e-002,8.125e-002
1198,-2.125e-002,7.812e-002
1199,-2.937e-002,9.062e-002
1200,-2.937e-002,8.125e-002
1201,-2.062e-002,1.000e-001
1202,-2.999e-002,9.375e-002
1203,-2.062e-002,1.093e-001
1204,-2.937e-002,1.062e-001
1205,-2.062e-002,8.437e-002
1206,-2.062e-002,9.062e-002
1207,-2.937e-002,7.812e-002
1208,-2.937e-002,7.812e-002
1209,-2.125e-002,9.687e-002
1210,-2.125e-002,8.750e-002
1211,-2.999e-002,1.031e-001
1212,-2.062e-002,1.062e-001
1213,-2.937e-002,9.062e-002
1214,-2.937e-002,1.000e-001
1215,-2.125e-002,7.812e-002
1216,-2.062e-002,7.812e-002
1217,-2.999e-002,8.750e-002
1218,-2.937e-002,8.125e-002
1219,-2.000e-002,1.000e-001
1220,-2.999e-002,9.062e-002
1221,-2.062e-002,1.062e-001
1222,-2.062e-002,1.062e-001
1223,-2.999e-002,8.125e-002
1224,-2.125e-002,9.062e-002
1225,-3.062e-002,7.500e-002
1226,-2.062e-002,7.812e-002
1227,-2.999e-002,9.375e-002
1228,-2.062e-002,8.750e-002
1229,-2.999e-002,1.031e-001
1230,-3.062e-002,1.062e-001
1231,-2.000e-002,8.750e-002
1232,-2.937e-002,9.687e-002
1233,-2.062e-002,7.187e-002
1234,-2.062e-002,8.125e-002
1235,-3.062e-002,6.875e-002
1236,-2.125e-002,7.187e-002
1237,-3.062e-002,9.375e-002
1238,-2.999e-002,8.437e-002
1239,-2.062e-002,9.687e-002
1240,-2.062e-002,9.375e-002
1241,-2.999e-002,6.875e-002
1242,-3.125e-002,7.812e-002
1243,-2.125e-002,6.562e-002
1244,-2.125e-002,6.562e-002
1245,-3.062e-002,8.437e-002
1246,-2.999e-002,7.500e-002
1247,-2.062e-002,9.375e-002
1248,-2.187e-002,9.375e-002
1249,-3.062e-002,8.125e-002
1250,-2.187e-002,8.750e-002
1251,-3.125e-002,7.500e-002
1252,-3.062e-002,7.500e-002
1253,-2.187e-002,9.062e-002
1254,-3.125e-002,8.437e-002
1255,-2.125e-002,1.031e-001
1256,-2.187e-002,1.062e-001
1257,-3.062e-002,9.375e-002
1258,-2.250e-002,1.000e-001
1259,-3.187e-002,8.125e-002
1260,-3.187e-002,8.437e-002
1261,-2.312e-002,9.687e-002
1262,-3.125e-002,9.062e-002
1263,-2.250e-002,1.093e-001
1264,-2.187e-002,1.000e-001
1265,-3.187e-002,1.125e-001
1266,-2.312e-002,1.125e-001
1267,-3.125e-002,9.062e-002
1268,-3.125e-002,1.000e-001
1269,-2.250e-002,8.437e-002
1270,-2.312e-002,8.437e-002
1271,-3.125e-002,1.000e-001
1272,-3.187e-002,9.062e-002
1273,-2.312e-002,1.062e-001
1274,-2.312e-002,1.093e-001
1275,-3.187e-002,9.062e-002
1276,-3.187e-002,1.000e-001
1277,-2.312e-002,7.812e-002
1278,-2.250e-002,8.437e-002
1279,-3.187e-002,7.187e-002
1280,-2.312e-002,7.500e-002
1281,-3.187e-002,9.375e-002
1282,-3.125e-002,8.750e-002
1283,-2.312e-002,1.000e-001
1284,-3.187e-002,9.687e-002
1285,-2.250e-002,7.500e-002
1286,-2.187e-002,8.437e-002
1287,-3.250e-002,6.562e-002
1288,-2.312e-002,6.875e-002
1289,-3.250e-002,8.125e-002
1290,-2.312e-002,7.500e-002
1291,-3.312e-002,9.062e-002
1292,-3.187e-002,9.375e-002
1293,-2.375e-002,7.812e-002
1294,-2.375e-002,8.437e-002
1295,-3.187e-002,6.250e-002
1296,-3.250e-002,6.250e-002
1297,-2.312e-002,7.500e-002
1298,-3.187e-002,6.875e-002
1299,-2.250e-002,8.750e-002
1300,-2.312e-002,8.125e-002
1301,-3.187e-002,9.375e-002
1302,-2.312e-002,9.062e-002
1303,-3.250e-002,6.562e-002
1304,-2.312e-002,7.500e-002
1305,-3.250e-002,5.625e-002
1306,-3.187e-002,5.625e-002
1307,-2.312e-002,7.500e-002
1308,-2.312e-002,6.875e-002
1309,-3.250e-002,8.437e-002
1310,-2.312e-002,8.437e-002
1311,-3.250e-002,6.250e-002
1312,-3.187e-002,6.875e-002
1313,-2.312e-002,5.312e-002
1314,-3.250e-002,5.312e-002
1315,-2.312e-002,6.875e-002
1316,-2.312e-002,6.250e-002
1317,-3.250e-002,8.125e-002
1318,-2.312e-002,8.125e-002
1319,-3.250e-002,6.875e-002
1320,-2.312e-002,7.500e-002
1321,-3.312e-002,5.625e-002
1322,-3.125e-002,5.312e-002
1323,-2.312e-002,6.875e-002
1324,-2.375e-002,6.250e-002
1325,-3.187e-002,8.125e-002
1326,-2.312e-002,7.187e-002
1327,-3.187e-002,8.437e-002
1328,-3.187e-002,7.812e-002
1329,-2.250e-002,4.062e-002
1330,-2.312e-002,5.000e-002
1331,-3.187e-002,3.125e-002
1332,-2.312e-002,3.125e-002
1333,-3.187e-002,5.000e-002
1334,-3.125e-002,4.062e-002
1335,-2.250e-002,5.937e-002
1336,-2.312e-002,5.937e-002
1337,-3.125e-002,2.812e-002
1338,-2.187e-002,3.437e-002
1339,-3.125e-002,1.562e-002
1340,-2.250e-002,1.562e-002
1341,-3.125e-002,3.437e-002
1342,-3.125e-002,2.500e-002
1343,-2.125e-002,5.000e-002
1344,-2.187e-002,5.312e-002
1345,-3.125e-002,3.437e-002
1346,-3.062e-002,4.062e-002
1347,-2.125e-002,1.250e-002
1348,-2.999e-002,1.250e-002
1349,-2.125e-002,2.812e-002
1350,-3.062e-002,2.187e-002
1351,-2.125e-002,4.687e-002
1352,-3.062e-002,3.750e-002
1353,-2.125e-002,5.312e-002
1354,-3.062e-002,5.000e-002
1355,-2.062e-002,9.375e-003
1356,-2.937e-002,1.875e-002
1357,-2.000e-002,3.125e-003
1358,-2.062e-002,6.250e-003
1359,-2.937e-002,2.812e-002
1360,-2.062e-002,2.187e-002
1361,-2.999e-002,4.062e-002
1362,-2.062e-002,4.062e-002
1363,-2.999e-002,1.250e-002
1364,-2.937e-002,2.187e-002
1365,-2.000e-002,1.250e-002
1366,-2.062e-002,1.562e-002
1367,-2.875e-002,4.062e-002
1368,-2.937e-002,3.125e-002
1369,-2.000e-002,5.625e-002
1370,-1.937e-002,5.625e-002
1371,-2.875e-002,2.500e-002
1372,-2.875e-002,3.125e-002
1373,-2.000e-002,3.125e-003
1374,-2.812e-002,3.125e-003
1375,-1.874e-002,1.875e-002
1376,-2.000e-002,9.375e-003
1377,-2.875e-002,3.125e-002
1378,-2.812e-002,3.437e-002
1379,-1.874e-002,1.875e-002
1380,-1.937e-002,2.500e-002
1381,-2.812e-002,9.375e-003
1382,-2.812e-002,9.375e-003
1383,-1.937e-002,3.125e-002
1384,-2.812e-002,2.187e-002
1385,-1.812e-002,5.000e-002
1386,-2.812e-002,4.062e-002
1387,-1.812e-002,5.625e-002
1388,-1.874e-002,5.312e-002
1389,-2.812e-002,1.875e-002
1390,-2.750e-002,1.250e-002
1391,-1.750e-002,2.812e-002
1392,-2.687e-002,1.875e-002
1393,-1.812e-002,4.062e-002
1394,-1.812e-002,3.437e-002
1395,-2.812e-002,5.312e-002
1396,-1.750e-002,5.312e-002
1397,-2.750e-002,3.125e-002
1398,-2.750e-002,3.125e-002
1399,-1.812e-002,4.687e-002
